Feature name,Priority,Sprint,Starting date,Status,Estimated time,Description,Link
1. Log in,Must have,,"December 11, 2023 → December 15, 2023",Backlog,5,WhenWhen I use the app [I want to]I want to see the activities of other users and a safe space [So that]To share my feelings and get support,
2. Sign up,Must have,,"December 18, 2023 → December 22, 2023",Backlog,10,WhenWhen I use the app [I want to]I want to see the activities of other users and a safe space [So that]To share my feelings and get support,
3. Reset password,Could have,,"December 25, 2023 → December 29, 2023",Backlog,2,WhenWhen I use the app [I want to]I want to see the activities of other users and a safe space [So that]To share my feelings and get support,
4. Onboarding,Nice to have,,"January 1, 2024 → January 5, 2024",Backlog,5,WhenWhen I use the app [I want to]I want to see the activities of other users and a safe space [So that]To share my feelings and get support,
5. Dashboard,Must have,,,Backlog,10,,
5.1 Dashboard Overview,Must have,,,Backlog,,,
5.2 Recent Transactions,Must have,,,Backlog,,,
5.3 Monthly Expenses,Must have,,,Backlog,,,
5.4 Monthly Incomes,Must have,,,Backlog,,,
5.5 Savings Total,Must have,,,Backlog,,,
5.6 Monthly Savings,Must have,,,,,,
6. Accounts Manager,Could have,,,,,,
6.1 Accounts Transfers,Nice to have,,,,,,
6.2 Accounts Categories,Nice to have,,,,,,
7. Transactions,Must have,,,,,,
7.1 Categorize Transactions,Must have,,,,,,
8. Categories,Should have,,,,,,
8.1 Add Category,Should have,,,,,,
8.2 Delete Category,Should have,,,,,,
8.3 Default Categories List,Must have,,,,,,
8.4 Update Category,Should have,,,,,,
9. Expenses,Must have,,,,,,
9.1 Add Expenses,Must have,,,,,,
9.2 Update Expenses,Must have,,,,,,
9.3 Delete Expenses,Must have,,,,,,
10. Incomes,Must have,,,,,,
10.1 Add Income,Must have,,,,,,
10.2 Delete Income,Must have,,,,,,
10.3 Update Income,Must have,,,,,,
11. Savings,Must have,,,,,,
11.1 Transfer to Savings,Must have,,,,,,
11.2 Add Saving,Must have,,,,,,
11.3 Transfer from Savings,Must have,,,,,,
11.4 Delete Saving,Must have,,,,,,
11.5 Update Saving,Must have,,,,,,
12. Investments,Nice to have,,,,,,
13. Family Group,Could have,,,,,,
13.1 Family member invitation,Could have,,,,,,
13.2 Family Admin,Could have,,,,,,
13.3 Family Accounts,Could have,,,,,,
13.4 Family Dashboard,Could have,,,,,,
13.5 Roles and Permissions,Could have,,,,,,
14.0 Recomendations to save what you’ve expended,Nice to have,,,,,,
